"Transaction.ID","Date.of.Purchase","Time.of.Purchase","Purchase.Type","Payment.Method","Railcard","Ticket.Class","Ticket.Type","Price","Departure.Station","Arrival.Destination","Date.of.Journey","Departure.Time","Arrival.Time","Actual.Arrival.Time","Journey.Status","Reason.for.Delay","Refund.Request","Day.of.Week"
"100e0c8f-029e-43ad-9e66",2024-01-02,2025-06-05 09:34:01,"Station","Credit Card","None","Standard","Advance",76,"Liverpool Lime Street","London Euston",2024-01-03,2025-06-05 08:00:00,2025-06-05 10:15:00,2025-06-05 11:09:00,"Delayed","Weather","No","Wednesday"
"ef586c9b-fa89-47ac-ade6",2024-01-02,2025-06-05 09:34:19,"Station","Credit Card","None","Standard","Advance",76,"Liverpool Lime Street","London Euston",2024-01-03,2025-06-05 08:00:00,2025-06-05 10:15:00,2025-06-05 11:09:00,"Delayed","Weather","No","Wednesday"
"9f41ca1d-fbc7-4a9d-b00a",2024-01-02,2025-06-05 10:32:20,"Station","Contactless","Adult","Standard","Advance",6,"Manchester Piccadilly","Leeds",2024-01-03,2025-06-05 09:00:00,2025-06-05 09:45:00,2025-06-05 10:22:00,"Delayed","Signal Failure","No","Wednesday"
"be826c41-d24e-4086-8550",2024-01-02,2025-06-05 10:51:36,"Station","Debit Card","Adult","Standard","Off-Peak",3,"Liverpool Lime Street","Manchester Piccadilly",2024-01-02,2025-06-05 11:15:00,2025-06-05 11:45:00,2025-06-05 12:17:00,"Delayed","Technical Issue","Yes","Tuesday"
"d551d829-2581-4478-8b34",2024-01-02,2025-06-05 12:33:42,"Station","Contactless","None","Standard","Advance",3,"Manchester Piccadilly","Liverpool Lime Street",2024-01-03,2025-06-05 11:00:00,2025-06-05 11:30:00,2025-06-05 14:24:00,"Delayed","Staff Shortage","No","Wednesday"
"33b6cd3a-e800-4050-a446",2024-01-02,2025-06-05 16:09:30,"Station","Debit Card","None","Standard","Advance",76,"Liverpool Lime Street","London Euston",2024-01-03,2025-06-05 15:30:00,2025-06-05 17:45:00,2025-06-05 18:14:00,"Delayed","Staffing","Yes","Wednesday"
"78622bcb-5883-424c-8456",2024-01-02,2025-06-05 18:13:20,"Station","Debit Card","Adult","Standard","Advance",50,"Liverpool Lime Street","London Euston",2024-01-03,2025-06-05 17:30:00,2025-06-05 19:45:00,2025-06-05 20:10:00,"Delayed","Technical Issue","Yes","Wednesday"
"0567ec14-6dac-4644-959c",2024-01-03,2025-06-05 02:10:09,"Station","Credit Card","None","Standard","Off-Peak",11,"York","Durham",2024-01-03,2025-06-05 03:30:00,2025-06-05 04:20:00,2025-06-05 04:32:00,"Delayed","Weather Conditions","No","Wednesday"
"7c7abfc7-41c0-48f4-b9a1",2024-01-03,2025-06-05 06:32:24,"Station","Credit Card","None","Standard","Anytime",151,"Liverpool Lime Street","London Euston",2024-01-03,2025-06-05 08:00:00,2025-06-05 10:15:00,2025-06-05 11:09:00,"Delayed","Weather","No","Wednesday"
"19550585-bfed-41a9-a8c8",2024-01-03,2025-06-05 06:35:56,"Station","Credit Card","None","Standard","Anytime",151,"Liverpool Lime Street","London Euston",2024-01-03,2025-06-05 08:00:00,2025-06-05 10:15:00,2025-06-05 11:09:00,"Delayed","Weather","No","Wednesday"
"7e4ebb6e-e31b-4120-99c3",2024-01-03,2025-06-05 06:38:42,"Station","Credit Card","None","Standard","Anytime",151,"Liverpool Lime Street","London Euston",2024-01-03,2025-06-05 08:00:00,2025-06-05 10:15:00,2025-06-05 11:09:00,"Delayed","Weather","No","Wednesday"
"5cc76758-2910-4f47-bdf8",2024-01-03,2025-06-05 06:39:46,"Station","Credit Card","None","Standard","Anytime",151,"Liverpool Lime Street","London Euston",2024-01-03,2025-06-05 08:00:00,2025-06-05 10:15:00,2025-06-05 11:09:00,"Delayed","Weather","No","Wednesday"
"271c72c3-3bf9-4cf8-bfbe",2024-01-03,2025-06-05 07:23:52,"Station","Contactless","Adult","Standard","Advance",2,"Liverpool Lime Street","Manchester Piccadilly",2024-01-04,2025-06-05 05:45:00,2025-06-05 06:15:00,2025-06-05 06:39:00,"Delayed","Signal Failure","No","Thursday"
"6c0f1e83-dccd-461b-9e1b",2024-01-03,2025-06-05 09:36:40,"Station","Contactless","None","Standard","Off-Peak",4,"Manchester Piccadilly","Liverpool Lime Street",2024-01-03,2025-06-05 11:00:00,2025-06-05 11:30:00,2025-06-05 14:24:00,"Delayed","Staff Shortage","No","Wednesday"
"662b7a86-e0f6-42af-acf0",2024-01-03,2025-06-05 09:42:19,"Station","Contactless","None","Standard","Off-Peak",4,"Manchester Piccadilly","Liverpool Lime Street",2024-01-03,2025-06-05 11:00:00,2025-06-05 11:30:00,2025-06-05 14:24:00,"Delayed","Staff Shortage","No","Wednesday"
"8c14f3ce-baaf-4da0-b8ea",2024-01-03,2025-06-05 10:30:15,"Station","Contactless","Adult","Standard","Advance",6,"Manchester Piccadilly","Leeds",2024-01-04,2025-06-05 09:00:00,2025-06-05 09:45:00,2025-06-05 12:33:00,"Delayed","Signal Failure","No","Thursday"
"ca41b64a-08b3-4e49-9dc7",2024-01-03,2025-06-05 10:44:13,"Station","Debit Card","Adult","Standard","Off-Peak",3,"Liverpool Lime Street","Manchester Piccadilly",2024-01-03,2025-06-05 11:15:00,2025-06-05 11:45:00,2025-06-05 12:12:00,"Delayed","Technical Issue","Yes","Wednesday"
"2e0ca4b7-44e7-4d79-ae48",2024-01-03,2025-06-05 15:06:15,"Station","Debit Card","None","Standard","Off-Peak",43,"Edinburgh Waverley","London Kings Cross",2024-01-03,2025-06-05 15:30:00,2025-06-05 19:50:00,2025-06-05 20:10:00,"Delayed","Staffing","Yes","Wednesday"
"83a9482a-c116-4cb7-a588",2024-01-03,2025-06-05 15:11:05,"Station","Debit Card","None","First Class","Off-Peak",200,"Manchester Piccadilly","London Euston",2024-01-03,2025-06-05 15:30:00,2025-06-05 17:20:00,2025-06-05 17:39:00,"Delayed","Staffing","Yes","Wednesday"
"3d323192-e2c6-4ba0-9a44",2024-01-03,2025-06-05 18:12:29,"Station","Debit Card","Adult","Standard","Advance",50,"Liverpool Lime Street","London Euston",2024-01-04,2025-06-05 17:30:00,2025-06-05 19:45:00,2025-06-05 20:03:00,"Delayed","Technical Issue","Yes","Thursday"
"77f2ae19-f238-4652-a673",2024-01-03,2025-06-05 18:13:47,"Station","Debit Card","Adult","Standard","Advance",50,"Liverpool Lime Street","London Euston",2024-01-04,2025-06-05 17:30:00,2025-06-05 19:45:00,2025-06-05 20:03:00,"Delayed","Technical Issue","Yes","Thursday"
"995ae839-d4b9-4f1a-9d9f",2024-01-03,2025-06-05 19:33:11,"Station","Credit Card","None","Standard","Advance",3,"Manchester Piccadilly","Liverpool Lime Street",2024-01-04,2025-06-05 17:45:00,2025-06-05 18:15:00,2025-06-05 19:09:00,"Delayed","Weather Conditions","No","Thursday"
"b7f5bfac-7284-4a4b-8e2a",2024-01-03,2025-06-05 19:42:49,"Station","Credit Card","None","Standard","Advance",3,"Manchester Piccadilly","Liverpool Lime Street",2024-01-04,2025-06-05 17:45:00,2025-06-05 18:15:00,2025-06-05 19:09:00,"Delayed","Weather Conditions","No","Thursday"
"5d482353-6973-4d6f-b34b",2024-01-03,2025-06-05 19:44:04,"Station","Credit Card","None","Standard","Advance",3,"Manchester Piccadilly","Liverpool Lime Street",2024-01-04,2025-06-05 17:45:00,2025-06-05 18:15:00,2025-06-05 19:09:00,"Delayed","Weather Conditions","No","Thursday"
"2f1eab24-8bda-4662-ab30",2024-01-04,2025-06-05 04:28:50,"Station","Contactless","Adult","Standard","Off-Peak",3,"Liverpool Lime Street","Manchester Piccadilly",2024-01-04,2025-06-05 05:45:00,2025-06-05 06:15:00,2025-06-05 06:39:00,"Delayed","Signal Failure","No","Thursday"
"092e5598-08de-42f5-b6b2",2024-01-04,2025-06-05 06:35:01,"Station","Credit Card","None","First Class","Anytime",267,"Manchester Piccadilly","London Euston",2024-01-04,2025-06-05 08:00:00,2025-06-05 09:50:00,2025-06-05 10:23:00,"Delayed","Weather","No","Thursday"
"22841256-d93f-4acb-92bc",2024-01-04,2025-06-05 07:00:16,"Station","Contactless","Disabled","Standard","Advance",8,"London Paddington","Reading",2024-01-05,2025-06-05 05:30:00,2025-06-05 06:30:00,2025-06-05 07:10:00,"Delayed","Staff Shortage","No","Friday"
"2848d512-d190-44c4-882a",2024-01-04,2025-06-05 07:43:15,"Station","Contactless","Adult","Standard","Off-Peak",10,"Manchester Piccadilly","Leeds",2024-01-04,2025-06-05 09:00:00,2025-06-05 09:45:00,2025-06-05 12:33:00,"Delayed","Signal Failure","No","Thursday"
"6ef81ac4-e411-49f6-ac63",2024-01-04,2025-06-05 08:23:57,"Station","Credit Card","Adult","Standard","Off-Peak",35,"London Kings Cross","York",2024-01-04,2025-06-05 09:45:00,2025-06-05 11:35:00,2025-06-05 12:00:00,"Delayed","Signal Failure","No","Thursday"
"2745f027-a034-4331-baf1",2024-01-04,2025-06-05 08:24:28,"Station","Contactless","Adult","Standard","Off-Peak",35,"London Kings Cross","York",2024-01-04,2025-06-05 09:45:00,2025-06-05 11:35:00,2025-06-05 12:00:00,"Delayed","Signal Failure","No","Thursday"
"9fd11028-16bb-49a5-9fe0",2024-01-04,2025-06-05 09:39:45,"Station","Credit Card","None","Standard","Advance",76,"Liverpool Lime Street","London Euston",2024-01-05,2025-06-05 08:00:00,2025-06-05 10:15:00,2025-06-05 11:14:00,"Delayed","Technical Issue","No","Friday"
"05122f8a-2b4d-4494-af0b",2024-01-04,2025-06-05 10:30:35,"Station","Contactless","Adult","Standard","Advance",6,"Manchester Piccadilly","Leeds",2024-01-05,2025-06-05 09:00:00,2025-06-05 09:45:00,2025-06-05 12:37:00,"Delayed","Signal Failure","No","Friday"
"03dfb652-4808-4f53-b013",2024-01-04,2025-06-05 10:44:16,"Station","Contactless","Adult","First Class","Advance",6,"Manchester Piccadilly","Liverpool Lime Street",2024-01-05,2025-06-05 09:00:00,2025-06-05 09:30:00,2025-06-05 11:23:00,"Delayed","Signal Failure","No","Friday"
"5851b51d-d0a5-4804-90b3",2024-01-04,2025-06-05 10:44:37,"Station","Contactless","Adult","Standard","Advance",6,"Manchester Piccadilly","Leeds",2024-01-05,2025-06-05 09:00:00,2025-06-05 09:45:00,2025-06-05 12:37:00,"Delayed","Signal Failure","No","Friday"
"73ef51d8-8c40-4388-a05b",2024-01-04,2025-06-05 11:51:13,"Station","Debit Card","Adult","Standard","Advance",7,"Birmingham New Street","Manchester Piccadilly",2024-01-05,2025-06-05 11:15:00,2025-06-05 12:35:00,2025-06-05 13:20:00,"Delayed","Technical Issue","Yes","Friday"
"336d89b8-e126-4c0f-b7cf",2024-01-04,2025-06-05 11:55:29,"Station","Debit Card","Adult","Standard","Advance",7,"Birmingham New Street","Manchester Piccadilly",2024-01-05,2025-06-05 11:15:00,2025-06-05 12:35:00,2025-06-05 13:20:00,"Delayed","Technical Issue","Yes","Friday"
"8583795a-e433-4dc5-8ae0",2024-01-04,2025-06-05 12:01:12,"Station","Debit Card","Adult","Standard","Advance",7,"Birmingham New Street","Manchester Piccadilly",2024-01-05,2025-06-05 11:15:00,2025-06-05 12:35:00,2025-06-05 13:20:00,"Delayed","Technical Issue","Yes","Friday"
"9803826a-0268-4689-b8be",2024-01-04,2025-06-05 15:13:54,"Station","Debit Card","None","Standard","Off-Peak",43,"Edinburgh Waverley","London Kings Cross",2024-01-04,2025-06-05 15:30:00,2025-06-05 19:50:00,2025-06-05 20:04:00,"Delayed","Staffing","Yes","Thursday"
"b74b4ef8-03ed-4810-a651",2024-01-04,2025-06-05 16:01:45,"Station","Credit Card","None","Standard","Anytime",5,"Manchester Piccadilly","Liverpool Lime Street",2024-01-04,2025-06-05 17:45:00,2025-06-05 18:15:00,2025-06-05 19:09:00,"Delayed","Weather Conditions","No","Thursday"
"5fb59a28-a020-4407-8d1c",2024-01-04,2025-06-05 16:03:19,"Station","Credit Card","None","Standard","Anytime",5,"Manchester Piccadilly","Liverpool Lime Street",2024-01-04,2025-06-05 17:45:00,2025-06-05 18:15:00,2025-06-05 19:09:00,"Delayed","Weather Conditions","No","Thursday"
"acce0dec-8719-4184-a1d6",2024-01-04,2025-06-05 16:03:52,"Station","Credit Card","None","Standard","Anytime",5,"Manchester Piccadilly","Liverpool Lime Street",2024-01-04,2025-06-05 17:45:00,2025-06-05 18:15:00,2025-06-05 19:09:00,"Delayed","Weather Conditions","No","Thursday"
"f49e4734-5462-4c4c-aaf2",2024-01-04,2025-06-05 16:04:42,"Station","Credit Card","None","Standard","Anytime",5,"Manchester Piccadilly","Liverpool Lime Street",2024-01-04,2025-06-05 17:45:00,2025-06-05 18:15:00,2025-06-05 19:09:00,"Delayed","Weather Conditions","No","Thursday"
"0ca5fce2-fdc2-4cfb-ab14",2024-01-04,2025-06-05 16:06:36,"Station","Credit Card","None","Standard","Anytime",5,"Manchester Piccadilly","Liverpool Lime Street",2024-01-04,2025-06-05 17:45:00,2025-06-05 18:15:00,2025-06-05 19:09:00,"Delayed","Weather Conditions","No","Thursday"
"fe80e767-891c-4fc4-b0c5",2024-01-04,2025-06-05 17:05:40,"Station","Debit Card","Adult","Standard","Anytime",101,"Liverpool Lime Street","London Euston",2024-01-04,2025-06-05 17:30:00,2025-06-05 19:45:00,2025-06-05 20:03:00,"Delayed","Technical Issue","Yes","Thursday"
"dbdfa22b-728b-42df-8fdd",2024-01-04,2025-06-05 17:07:32,"Station","Debit Card","Adult","Standard","Anytime",101,"Liverpool Lime Street","London Euston",2024-01-04,2025-06-05 17:30:00,2025-06-05 19:45:00,2025-06-05 20:03:00,"Delayed","Technical Issue","Yes","Thursday"
"5b0b3247-71b3-4a93-9cec",2024-01-04,2025-06-05 18:06:43,"Station","Debit Card","Adult","Standard","Advance",56,"Manchester Piccadilly","London Euston",2024-01-05,2025-06-05 17:30:00,2025-06-05 19:20:00,2025-06-05 19:36:00,"Delayed","Technical Issue","Yes","Friday"
"ebf28d28-12ed-4058-8638",2024-01-04,2025-06-05 19:43:11,"Station","Credit Card","None","Standard","Advance",3,"Manchester Piccadilly","Liverpool Lime Street",2024-01-05,2025-06-05 17:45:00,2025-06-05 18:15:00,2025-06-05 19:03:00,"Delayed","Signal failure","No","Friday"
"0dbca677-064f-48f7-8f81",2024-01-05,2025-06-05 06:36:12,"Station","Credit Card","None","Standard","Anytime",151,"Liverpool Lime Street","London Euston",2024-01-05,2025-06-05 08:00:00,2025-06-05 10:15:00,2025-06-05 11:14:00,"Delayed","Technical Issue","No","Friday"
"4fde91af-ed08-485c-9a16",2024-01-05,2025-06-05 06:36:12,"Station","Credit Card","None","Standard","Anytime",151,"Liverpool Lime Street","London Euston",2024-01-05,2025-06-05 08:00:00,2025-06-05 10:15:00,2025-06-05 11:14:00,"Delayed","Technical Issue","No","Friday"
"4e60d065-8ed6-47e4-8b82",2024-01-05,2025-06-05 06:37:59,"Station","Credit Card","None","Standard","Anytime",151,"Liverpool Lime Street","London Euston",2024-01-05,2025-06-05 08:00:00,2025-06-05 10:15:00,2025-06-05 11:14:00,"Delayed","Technical Issue","No","Friday"
"cbd91a84-13bf-4f25-8df9",2024-01-05,2025-06-05 06:44:25,"Station","Credit Card","None","Standard","Anytime",151,"Liverpool Lime Street","London Euston",2024-01-05,2025-06-05 08:00:00,2025-06-05 10:15:00,2025-06-05 11:14:00,"Delayed","Technical Issue","No","Friday"
"c97ea326-6a04-441c-9eb2",2024-01-05,2025-06-05 09:32:22,"Station","Credit Card","None","First Class","Advance",134,"Manchester Piccadilly","London Euston",2024-01-06,2025-06-05 08:00:00,2025-06-05 09:50:00,2025-06-05 10:30:00,"Delayed","Weather","No","Saturday"
"e1627b4d-a54d-4a57-a470",2024-01-05,2025-06-05 10:42:31,"Station","Debit Card","Adult","Standard","Off-Peak",11,"Birmingham New Street","Manchester Piccadilly",2024-01-05,2025-06-05 11:15:00,2025-06-05 12:35:00,2025-06-05 13:20:00,"Delayed","Technical Issue","Yes","Friday"
"1973657d-3708-42a2-8935",2024-01-05,2025-06-05 11:57:57,"Station","Debit Card","Adult","Standard","Advance",7,"Birmingham New Street","Manchester Piccadilly",2024-01-06,2025-06-05 11:15:00,2025-06-05 12:35:00,2025-06-05 13:12:00,"Delayed","Technical Issue","Yes","Saturday"
"d72b4666-b186-4793-bf4f",2024-01-05,2025-06-05 12:00:25,"Station","Debit Card","Adult","Standard","Advance",7,"Birmingham New Street","Manchester Piccadilly",2024-01-06,2025-06-05 11:15:00,2025-06-05 12:35:00,2025-06-05 13:12:00,"Delayed","Technical Issue","Yes","Saturday"
"bdc2bf77-6121-479d-b731",2024-01-05,2025-06-05 16:13:59,"Station","Credit Card","None","Standard","Anytime",5,"Manchester Piccadilly","Liverpool Lime Street",2024-01-05,2025-06-05 17:45:00,2025-06-05 18:15:00,2025-06-05 19:03:00,"Delayed","Signal failure","No","Friday"
"068bedb4-34d5-4874-98d8",2024-01-05,2025-06-05 17:09:58,"Station","Debit Card","Adult","Standard","Anytime",101,"Liverpool Lime Street","London Euston",2024-01-05,2025-06-05 17:30:00,2025-06-05 19:45:00,2025-06-05 19:49:00,"Delayed","Technical Issue","Yes","Friday"
"9e6e6878-ad6f-4293-abd3",2024-01-06,2025-06-05 09:32:55,"Station","Credit Card","None","Standard","Advance",76,"Liverpool Lime Street","London Euston",2024-01-07,2025-06-05 08:00:00,2025-06-05 10:15:00,2025-06-05 11:11:00,"Delayed","Weather","No","Sunday"
"cfc64677-5349-4602-ad34",2024-01-06,2025-06-05 09:34:18,"Station","Credit Card","None","Standard","Advance",76,"Liverpool Lime Street","London Euston",2024-01-07,2025-06-05 08:00:00,2025-06-05 10:15:00,2025-06-05 11:11:00,"Delayed","Weather","No","Sunday"
"2c439aba-f953-4e91-ae89",2024-01-06,2025-06-05 09:38:55,"Station","Credit Card","None","Standard","Advance",76,"Liverpool Lime Street","London Euston",2024-01-07,2025-06-05 08:00:00,2025-06-05 10:15:00,2025-06-05 11:11:00,"Delayed","Weather","No","Sunday"
"72fa81a6-e0b4-411e-8971",2024-01-06,2025-06-05 09:40:36,"Station","Credit Card","None","Standard","Advance",76,"Liverpool Lime Street","London Euston",2024-01-07,2025-06-05 08:00:00,2025-06-05 10:15:00,2025-06-05 11:11:00,"Delayed","Weather","No","Sunday"
"68921e14-d681-4492-9284",2024-01-06,2025-06-05 10:40:45,"Station","Debit Card","Adult","Standard","Off-Peak",11,"Birmingham New Street","Manchester Piccadilly",2024-01-06,2025-06-05 11:15:00,2025-06-05 12:35:00,2025-06-05 13:12:00,"Delayed","Technical Issue","Yes","Saturday"
"89b9ebe8-4e0c-43d0-9b2e",2024-01-06,2025-06-05 14:48:33,"Station","Debit Card","Senior","Standard","Advance",50,"Liverpool Lime Street","London Euston",2024-01-07,2025-06-05 09:30:00,2025-06-05 11:45:00,2025-06-05 12:04:00,"Delayed","Traffic","Yes","Sunday"
"5322ac67-aeae-4476-8f2e",2024-01-06,2025-06-05 17:00:20,"Station","Debit Card","Adult","Standard","Off-Peak",84,"Manchester Piccadilly","London Euston",2024-01-06,2025-06-05 17:30:00,2025-06-05 19:20:00,2025-06-05 19:49:00,"Delayed","Technical Issue","Yes","Saturday"
"04d07b29-1b0f-4698-93f6",2024-01-06,2025-06-05 19:32:37,"Station","Credit Card","None","Standard","Advance",3,"Manchester Piccadilly","Liverpool Lime Street",2024-01-07,2025-06-05 17:45:00,2025-06-05 18:15:00,2025-06-05 19:20:00,"Delayed","Staffing","No","Sunday"
"35c43151-ba31-4765-9673",2024-01-06,2025-06-05 19:36:10,"Station","Credit Card","None","Standard","Advance",3,"Manchester Piccadilly","Liverpool Lime Street",2024-01-07,2025-06-05 17:45:00,2025-06-05 18:15:00,2025-06-05 19:20:00,"Delayed","Staffing","No","Sunday"
"408d44e1-c39f-436b-8ef0",2024-01-06,2025-06-05 19:38:38,"Station","Credit Card","None","Standard","Advance",3,"Manchester Piccadilly","Liverpool Lime Street",2024-01-07,2025-06-05 17:45:00,2025-06-05 18:15:00,2025-06-05 19:20:00,"Delayed","Staffing","No","Sunday"
"aed8dd88-b0af-4015-975a",2024-01-06,2025-06-05 19:40:41,"Station","Credit Card","None","Standard","Advance",3,"Manchester Piccadilly","Liverpool Lime Street",2024-01-07,2025-06-05 17:45:00,2025-06-05 18:15:00,2025-06-05 19:20:00,"Delayed","Staffing","No","Sunday"
"1abc0870-872c-4aeb-873d",2024-01-06,2025-06-05 22:41:55,"Station","Credit Card","None","Standard","Advance",37,"London Euston","York",2024-01-07,2025-06-05,2025-06-05 01:50:00,2025-06-05 02:02:00,"Delayed","Signal Failure","No","Sunday"
"f6cd33a8-3e3f-4dc4-b56b",2024-01-07,2025-06-05 02:14:39,"Station","Credit Card","None","Standard","Off-Peak",126,"Manchester Piccadilly","London Euston",2024-01-07,2025-06-05 03:30:00,2025-06-05 05:20:00,2025-06-05 06:08:00,"Delayed","Weather Conditions","No","Sunday"
"28a5eb6b-3b60-41b7-994e",2024-01-07,2025-06-05 06:30:18,"Station","Credit Card","None","Standard","Off-Peak",113,"Liverpool Lime Street","London Euston",2024-01-07,2025-06-05 08:00:00,2025-06-05 10:15:00,2025-06-05 11:11:00,"Delayed","Weather","No","Sunday"
"4d6eb230-9bc6-4824-a31c",2024-01-07,2025-06-05 06:31:16,"Station","Credit Card","None","Standard","Off-Peak",113,"Liverpool Lime Street","London Euston",2024-01-07,2025-06-05 08:00:00,2025-06-05 10:15:00,2025-06-05 11:11:00,"Delayed","Weather","No","Sunday"
"d606464d-6580-4d08-a99e",2024-01-07,2025-06-05 06:41:48,"Station","Credit Card","None","Standard","Off-Peak",113,"Liverpool Lime Street","London Euston",2024-01-07,2025-06-05 08:00:00,2025-06-05 10:15:00,2025-06-05 11:11:00,"Delayed","Weather","No","Sunday"
"75ac8d08-1e27-4667-b7f6",2024-01-07,2025-06-05 07:44:38,"Station","Contactless","Adult","Standard","Off-Peak",12,"Manchester Piccadilly","Nottingham",2024-01-07,2025-06-05 09:00:00,2025-06-05 10:00:00,2025-06-05 11:17:00,"Delayed","Signal Failure","No","Sunday"
"b28158eb-0150-445b-abf2",2024-01-07,2025-06-05 09:33:16,"Station","Credit Card","None","Standard","Advance",21,"Birmingham New Street","London Euston",2024-01-08,2025-06-05 08:00:00,2025-06-05 09:20:00,2025-06-05 09:51:00,"Delayed","Weather","No","Monday"
"c7cf8084-c8f3-4aaa-aa4d",2024-01-07,2025-06-05 09:53:00,"Online","Credit Card","Adult","Standard","Off-Peak",3,"Liverpool Lime Street","Manchester Piccadilly",2024-01-07,2025-06-05 11:15:00,2025-06-05 11:45:00,2025-06-05 11:54:00,"Delayed","Technical Issue","No","Sunday"
"09b9852f-9e21-47a9-8fb7",2024-01-07,2025-06-05 10:44:02,"Station","Debit Card","Adult","Standard","Off-Peak",3,"Liverpool Lime Street","Manchester Piccadilly",2024-01-07,2025-06-05 11:15:00,2025-06-05 11:45:00,2025-06-05 11:54:00,"Delayed","Technical Issue","Yes","Sunday"
"f5ab75ee-9590-404a-9865",2024-01-07,2025-06-05 12:44:54,"Station","Contactless","None","Standard","Advance",3,"Manchester Piccadilly","Liverpool Lime Street",2024-01-08,2025-06-05 11:00:00,2025-06-05 11:30:00,2025-06-05 12:02:00,"Delayed","Staff Shortage","No","Monday"
